uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
678,2025-04-27 10:02:00,accelerometer,1,,3.0,,,0,-0.2705448,9.861717,"{""type"":1,""axisX"":""0.0"",""axisY"":""-0.2705448"",""axisZ"":""9.861717"",""accuracy"":3,""timestamp"":214685217326013}"
668,2025-04-27 10:03:00,accelerometer,1,,3.0,,,-0.04070143,-0.18435353,9.905111,"{""type"":1,""axisX"":""-0.04070143"",""axisY"":""-0.18435353"",""axisZ"":""9.905111"",""accuracy"":3,""timestamp"":1330402773893225}"
671,2025-04-27 10:08:00,accelerometer,1,,3.0,,,-9.758093,-0.15008652,0.7875427,"{""type"":1,""axisX"":""-9.758093"",""axisY"":""-0.15008652"",""axisZ"":""0.7875427"",""accuracy"":3,""timestamp"":151149330400027}"
676,2025-04-27 10:10:00,accelerometer,1,,3.0,,,0.22971097,0.23629123,9.894919,"{""type"":1,""axisX"":""0.22971097"",""axisY"":""0.23629123"",""axisZ"":""9.894919"",""accuracy"":3,""timestamp"":571787009885089}"
687,2025-04-27 10:12:00,accelerometer,1,,3.0,,,0.7589619,10.263943,2.920926,"{""type"":1,""axisX"":""0.7589619"",""axisY"":""10.263943"",""axisZ"":""2.920926"",""accuracy"":3,""timestamp"":38419022405496}"
670,2025-04-27 10:14:00,accelerometer,1,,3.0,,,0.17238252,0.050278235,9.696816,"{""type"":1,""axisX"":""0.17238252"",""axisY"":""0.050278235"",""axisZ"":""9.696816"",""accuracy"":3,""timestamp"":529339142952540}"
678,2025-04-27 10:17:00,accelerometer,1,,3.0,,,0.10295067,0.36870706,9.801862,"{""type"":1,""axisX"":""0.10295067"",""axisY"":""0.36870706"",""axisZ"":""9.801862"",""accuracy"":3,""timestamp"":215603894577047}"
668,2025-04-27 10:18:00,accelerometer,1,,3.0,,,-0.02873042,-0.18674773,9.893141,"{""type"":1,""axisX"":""-0.02873042"",""axisY"":""-0.18674773"",""axisZ"":""9.893141"",""accuracy"":3,""timestamp"":1331278276764733}"
671,2025-04-27 10:23:00,accelerometer,1,,3.0,,,-9.371803,2.61993,1.1733832,"{""type"":1,""axisX"":""-9.371803"",""axisY"":""2.61993"",""axisZ"":""1.1733832"",""accuracy"":3,""timestamp"":152049335627267}"
676,2025-04-27 10:25:00,accelerometer,1,,3.0,,,-1.1641082,-10.05823,-0.4319045,"{""type"":1,""axisX"":""-1.1641082"",""axisY"":""-10.05823"",""axisZ"":""-0.4319045"",""accuracy"":3,""timestamp"":572686329752683}"
