uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
687,2025-04-27 10:02:00,calls,1,796857ee-e626-486c-86c2-3e1830284ca7,9.0,9,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""796857ee-e626-486c-86c2-3e1830284ca7"",""callTimestamp"":1745737360538,""callDuration"":""9""}"
687,2025-04-27 10:02:00,calls,1,5c2573e9-1007-4891-92d4-b5e7396e2802,9.0,9,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""5c2573e9-1007-4891-92d4-b5e7396e2802"",""callTimestamp"":1745737360538,""callDuration"":""9""}"
685,2025-04-27 10:07:00,calls,1,d8710070-6c70-4c7d-b3e9-d511fa813c0f,27.0,27,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""d8710070-6c70-4c7d-b3e9-d511fa813c0f"",""callTimestamp"":1745737625186,""callDuration"":""27""}"
687,2025-04-27 10:08:00,calls,1,f399432d-e63e-4b9e-a790-e50b47e7e293,13.0,13,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""f399432d-e63e-4b9e-a790-e50b47e7e293"",""callTimestamp"":1745737731602,""callDuration"":""13""}"
687,2025-04-27 10:08:00,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,13.0,13,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""50e93d20-2f9d-40da-a737-a4ef03c60724"",""callTimestamp"":1745737731602,""callDuration"":""13""}"
687,2025-04-27 10:40:00,calls,1,dcc899ca-dc91-4c91-bf2d-2292d39f9bfd,52.0,52,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""dcc899ca-dc91-4c91-bf2d-2292d39f9bfd"",""callTimestamp"":1745739611707,""callDuration"":""52""}"
687,2025-04-27 10:40:00,calls,1,e1a72bc7-82cb-45e8-8883-4adba203ff50,52.0,52,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""e1a72bc7-82cb-45e8-8883-4adba203ff50"",""callTimestamp"":1745739611707,""callDuration"":""52""}"
678,2025-04-27 10:48:00,calls,2,7051dd56-4c71-4985-bbe8-4756005c2d6d,973.0,973,0.0,,,,"{""status"":""OUTGOING"",""callType"":2,""phoneNumber"":""7051dd56-4c71-4985-bbe8-4756005c2d6d"",""callTimestamp"":1745740104168,""callDuration"":""973""}"
687,2025-04-27 11:11:00,calls,1,f378ca5d-4c95-48ba-9907-96cbd8e2c22f,60.0,60,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""f378ca5d-4c95-48ba-9907-96cbd8e2c22f"",""callTimestamp"":1745741496217,""callDuration"":""60""}"
687,2025-04-27 11:11:00,calls,1,f0120b9b-9b95-4bdd-b3c9-29ce9c4bf72f,60.0,60,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""f0120b9b-9b95-4bdd-b3c9-29ce9c4bf72f"",""callTimestamp"":1745741496217,""callDuration"":""60""}"
687,2025-04-27 11:15:00,calls,1,f378ca5d-4c95-48ba-9907-96cbd8e2c22f,13.0,13,1.0,,,,"{""status"":""INCOMING"",""callType"":1,""phoneNumber"":""f378ca5d-4c95-48ba-9907-96cbd8e2c22f"",""callTimestamp"":1745741725595,""callDuration"":""13""}"
