uid,datetime,type,sub_type,suuid,level,value,sensor_status,x,y,z,data
671,2025-04-27 10:00:00,light,5,,3.0,3.945,,3.945,,,"{""type"":5,""axisX"":""3.945"",""accuracy"":3,""timestamp"":150619849899879}"
676,2025-04-27 10:00:00,light,5,,3.0,50.0175,,50.0175,,,"{""type"":5,""axisX"":""50.0175"",""accuracy"":3,""timestamp"":571202483043857}"
686,2025-04-27 10:00:00,light,5,,3.0,41,,41,,,"{""type"":5,""axisX"":""41.0"",""accuracy"":3,""timestamp"":328104824231606}"
668,2025-04-27 10:03:00,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":1330402893917225}"
678,2025-04-27 10:08:00,light,5,,3.0,243,,243,,,"{""type"":5,""axisX"":""243.0"",""accuracy"":3,""timestamp"":215061035092425}"
687,2025-04-27 10:10:00,light,5,,3.0,519,,519,,,"{""type"":5,""axisX"":""519.0"",""accuracy"":3,""timestamp"":38267359987967}"
670,2025-04-27 10:14:00,light,5,,3.0,425,,425,,,"{""type"":5,""axisX"":""425.0"",""accuracy"":3,""timestamp"":529339144991227}"
671,2025-04-27 10:15:00,light,5,,3.0,2.12625,,2.12625,,,"{""type"":5,""axisX"":""2.12625"",""accuracy"":3,""timestamp"":151527165435379}"
676,2025-04-27 10:15:00,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":572102281785690}"
668,2025-04-27 10:18:00,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":1331332219475841}"
678,2025-04-27 10:23:00,light,5,,3.0,226,,226,,,"{""type"":5,""axisX"":""226.0"",""accuracy"":3,""timestamp"":215961050186454}"
687,2025-04-27 10:25:00,light,5,,3.0,42,,42,,,"{""type"":5,""axisX"":""42.0"",""accuracy"":3,""timestamp"":39167428367416}"
670,2025-04-27 10:29:00,light,5,,3.0,651,,651,,,"{""type"":5,""axisX"":""651.0"",""accuracy"":3,""timestamp"":530239188088266}"
676,2025-04-27 10:30:00,light,5,,3.0,95.985,,95.985,,,"{""type"":5,""axisX"":""95.985"",""accuracy"":3,""timestamp"":573007949883373}"
671,2025-04-27 10:30:00,light,5,,3.0,28.0625,,28.0625,,,"{""type"":5,""axisX"":""28.0625"",""accuracy"":3,""timestamp"":152444848991058}"
668,2025-04-27 10:34:00,light,5,,3.0,0,,0,,,"{""type"":5,""axisX"":""0.0"",""accuracy"":3,""timestamp"":1332250917358917}"
